id,gitname,model_architecture,preds_dataset,run_message,abs_rel,rmse,ppd,abs_rel_std_err,rmse_std_err,ppd_std_err
0,anthonyceponis,unidepth,middlebury_processed,final report,0.364894984254188,2.972869861627107,,0.050732604393587,0.5274673009942081,
1,anthonyceponis,unidepth,nyu_v2_processed,final report,0.0327881506269044,0.1817869095194033,,0.0006247710809543,0.0035537310355353,
2,anthonyceponis,unidepth,hypersim_processed/test,final report,0.276891159626195,2.791194030066986,453.41074803307697,0.0040396518141441,0.0660594526273451,10.938936824961676
3,anthonyceponis,zoedepth,middlebury_processed,final report,0.4766659470439855,3.443070275440637,,0.0437908761653742,0.5388001650209526,
4,anthonyceponis,zoedepth,nyu_v2_processed,[Cfinal report,0.0785129503360833,0.3515536184898852,,0.0013234928915021,0.0068227160329646,
5,anthonyceponis,zoedepth,hypersim_processed/test,final report,0.2994330785145381,3.8461080888136223,888.25730356077,0.0030730704291985,0.0918597687411438,23.20730923576813
6,anthonyceponis,pixelperfectdepth,middlebury_processed,final report,0.3633831138352508,2.920926247316435,,0.0482681168522652,0.5132318791589032,
7,anthonyceponis,pixelperfectdepth,nyu_v2_processed,final report,0.0425501095716498,0.2388143816507191,,0.0007804105140842,0.0050276127284329,
8,anthonyceponis,pixelperfectdepth,hypersim_processed/test,final report,0.2625368613455531,2.607839513666265,426.9865187172605,0.0039002369944564,0.0640228299641577,10.274279148923736
9,anthonyceponis,patchrefiner,middlebury_processed,final report,0.5126075882356856,3.72881687822964,,0.0475069241286268,0.5697930491290549,
10,anthonyceponis,patchrefiner,nyu_v2_processed,final report,0.0934157095722948,0.5358689904431031,,0.0018881051020182,0.0150797868632104,
11,anthonyceponis,patchrefiner,hypersim_processed/test,final report,0.3066867066369823,3.735669279587277,470.3283346427599,0.002926491843583108,0.07465819999448692,13.107565395387397
